bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,idioma_score
15705,Existential Meditation,Simon Cleveland,4.91,1411665309,9781411665309,eng,100,11,3,12/22/2005,Lulu.com,0.9
24812,The Complete Calvin and Hobbes,Bill Watterson,4.82,0740748475,9780740748479,eng,1456,32213,930,9/6/2005,Andrews McMeel Publishing,0.9
24814,It's a Magical World (Calvin and Hobbes  #11),Bill Watterson,4.76,0836221362,9780836221367,eng,176,23875,303,9/1/1996,Andrews McMeel Publishing,0.9
6550,Early Color,Saul Leiter/Martin Harrison,4.73,3865211399,9783865211392,eng,156,144,8,1/15/2006,Steidl,0.9
24816,Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),Bill Watterson,4.72,0836217691,9780836217698,eng,176,15365,290,9/6/1994,Andrews McMeel Publishing,0.9
17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,0738209279,9780738209272,en-US,0,20,0,1/3/2006,Basic Books,0.06666666666666667
17276,The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,4.71,0738209252,9780738209258,en-US,0,21,0,5/12/2004,Basic Books,0.06666666666666667
26805,The Sibley Field Guide to Birds of Western North America,David Allen Sibley,4.69,0679451218,9780679451211,en-US,473,730,36,4/29/2003,Alfred A. Knopf,0.06666666666666667
23318,Discovery of the Presence of God: Devotional Nonduality,David R. Hawkins,4.61,0971500762,9780971500761,en-US,296,186,11,6/28/2007,Veritas Publishing,0.06666666666666667
5545,The Feynman Lectures on Physics  3 Vols,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.6,0201500647,9780201500646,en-US,3,78,7,1/1/1989,Addison Wesley Publishing Company,0.06666666666666667
45814,Tenetur nisi error veritatis quod,Severiano del Osorio,5.0,114232124X,9780772983848,spa,937,1511,335,11/16/2004,Montaña Ltd,0.03333333333333333
46052,Occaecati quasi impedit nam sapiente modi,Mercedes Bonet Atienza,5.0,098109967X,9781889396804,spa,972,2763,177,06/05/2001,"Figueras, Salom and Perales",0.03333333333333333
46113,Architecto odit dignissimos quibusdam,Florinda Casares Guillén,5.0,0531094588,9780461311754,spa,315,4404,147,01/18/2021,"Heras, Amo and Melero",0.03333333333333333
46405,Tempore quo magni temporibus,Jose Luis Alcalde Carreras,5.0,1625031033,9781058476504,spa,212,4622,359,06/20/2023,Fonseca PLC,0.03333333333333333
45900,Provident vel praesentium voluptas nihil,Nereida Bou Expósito,4.99,1196804192,9781291928587,spa,924,7157,421,07/05/2006,"Benítez, Sierra and Rubio",0.03333333333333333
39382,Corvette,Jerry Burton,4.83,0883631210,9780883631218,eng,320,6,1,10/1/2006,Universe Publishing(NY),0.9
16898,True Harvest: Readings From Henry David Thoreau For Every Day Of The Year,Henry David Thoreau/Barry M. Andrews,4.75,1558964908,9781558964907,eng,304,8,2,10/7/2005,Skinner House Books,0.9
35561,The Beatles' Story on Capitol Records  Part Two: The Albums,Bruce Spizer,4.72,0966264924,9780966264920,eng,264,29,0,1/1/2010,Four Ninety-Eight Productions,0.9
24820,Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,0740721356,9780740721359,eng,96,3613,85,9/17/2001,Andrews McMeel Publishing,0.9
955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,0802415318,9780802415318,eng,0,22,4,1/1/2005,Moody Publishers,0.9
20749,Study Bible: NIV,Anonymous,4.7,0310929555,9780310929550,eng,2198,4166,186,10/1/2002,Zondervan Publishing House,0.9
24520,The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,039306011X,9780393060119,eng,6576,1338,81,10/17/2004,W. W. Norton  Company,0.9
44826,The Price of the Ticket: Collected Nonfiction  1948-1985,James Baldwin,4.7,0312643063,9780312643065,eng,712,404,30,9/15/1985,St. Martin's Press,0.9
24818,The Days Are Just Packed,Bill Watterson,4.69,0836217357,9780836217353,eng,176,20308,244,9/1/1993,Andrews McMeel Publishing,0.9
31401,A Wife After God's Own Heart Growth and Study Guide,Elizabeth George,4.69,0736911685,9780736911689,eng,160,9,1,1/1/2004,Harvest House Publishers,0.9
32160,Cook's Illustrated 2003 (Cook's Illustrated Annuals),Cook's Illustrated Magazine,4.69,0936184728,9780936184722,eng,212,26,0,11/15/2003,Boston Common Press,0.9
5309,The Life and Times of Scrooge McDuck,Don Rosa,4.67,0911903968,9780911903966,eng,266,2467,149,6/1/2005,Gemstone Publishing,0.9
30836,Restless Till We Rest in You: 60 Reflections from the Writings of St. Augustine (Saints Speak Today),Augustine of Hippo,4.67,1569550344,9781569550342,eng,158,6,1,12/31/1998,Servant Publications,0.9
39201,Getting a Grip on the Basics: Building a Firm Foundation for the Victorious Christian Life,Beth A. Jones,4.67,1577948262,9781577948261,eng,124,9,0,5/1/2006,Harrison House,0.9
23753,The Absolute Sandman  Volume One,Neil Gaiman/Mike Dringenberg/Chris Bachalo/Michael Zulli/Kelly Jones/Charles Vess/Colleen Doran/Malcolm Jones III/Steve Parkhouse/Daniel Vozzo/Lee Loughridge/Steve Oliff/Todd Klein/Dave McKean/Sam Kieth,4.65,1401210821,9781401210823,eng,612,15640,512,11/1/2006,Vertigo,0.9
3582,The New Annotated Sherlock Holmes: The Complete Short Stories,Arthur Conan Doyle/Leslie S. Klinger,4.64,0393059162,9780393059168,eng,1878,1411,54,11/30/2004,W. W. Norton & Company,0.9
23589,The J.R.R. Tolkien Companion and Guide,Christina Scull/Wayne G. Hammond,4.64,0618391134,9780618391134,eng,2264,45,0,11/2/2006,Houghton Mifflin Harcourt,0.9
27204,The Gospel According to Luke,Anonymous/Thomas Cahill,4.64,0802136184,9780802136183,eng,81,169,17,10/29/1999,Grove Press,0.9
39661,The Shawshank Redemption: The Shooting Script,Frank Darabont/Stephen King,4.64,1557042462,9781557042460,eng,184,2406,29,9/30/2004,Newmarket Press,0.9
2688,Novels 1901–1902: The Sacred Fount / The Wings of the Dove,Henry James/Leo Bersani,4.63,193108288X,9781931082884,eng,713,27,3,2/2/2006,Library of America,0.9
13206,The Collected Autobiographies of Maya Angelou,Maya Angelou,4.63,0679643257,9780679643258,eng,1184,991,55,9/21/2004,Modern Library,0.9
17280,The Feynman Lectures on Physics Vol 3,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.63,0805390499,9780805390490,eng,384,716,15,9/1/2005,Addison Wesley Publishing Company,0.9
24813,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,4.63,0836204387,9780836204384,eng,208,49122,368,9/5/1995,Andrews McMeel Publishing,0.9
24819,The Calvin And Hobbes:  Tenth Anniversary Book,Bill Watterson,4.63,0751515574,9780751515572,eng,208,303,12,2/1/2008,Time Warner Books UK,0.9
1750,Dionysiac Poetics and Euripides' Bacchae,Charles Segal,4.62,069101597X,9780691015972,eng,440,12,0,11/16/1997,Princeton University Press,0.9
11323,Herbert the Timid Dragon,Mercer Mayer,4.62,0307114635,9780307114631,eng,48,23,4,7/1/1991,Western Publishing Company  Golden Books,0.9
19333,The World of Peter Rabbit (Original Peter Rabbit  Books 1-23),Beatrix Potter,4.62,0723257639,9780723257639,eng,1072,220,14,5/4/2006,Warne,0.9
23721,Nausicaä of the Valley of the Wind  Vol. 6 (Nausicaä of the Valley of the Wind  #6),Hayao Miyazaki/Matt Thorn/Kaori Inoue/Joe Yamazaki/Walden Wong/Izumi Evers,4.62,1591163544,9781591163541,eng,159,1776,33,8/10/2004,VIZ Media,0.9
35111,The Feynman Lectures on Physics Vol 2,Richard P. Feynman/Robert B. Leighton/Matthew L. Sands,4.62,0805390472,9780805390476,eng,512,17,2,9/1/2005,Pearson Education,0.9
35406,Lego Star Wars: Prima Official Game Guide,Michael Littlefield,4.62,0761554912,9780761554912,eng,128,27,2,9/12/2006,Prima Games,0.9
313,100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,9780933121188,eng,270,88,4,11/22/1996,Black Classic Press,0.9
17142,Collected Essays: Notes of a Native Son / Nobody Knows My Name / The Fire Next Time / No Name in the Street / The Devil Finds Work / Other Essays,James Baldwin/Toni Morrison,4.61,1883011523,9781883011529,eng,869,1495,75,2/1/1998,Library of America (NY),0.9
17334,The Complete C.S. Lewis Signature Classics,C.S. Lewis,4.61,0061208493,9780061208492,eng,746,925,40,2/6/2007,HarperOne,0.9
19445,A Guide to the Words of My Perfect Teacher,Ngawang Pelzang/Padmakara Translation Group/Patrul Rinpoche/Alak Zenkar,4.61,1590300734,9781590300732,eng,336,79,0,6/22/2004,Shambhala,0.9
